area,rooms,is_new,property_id,garages,stratum,property_type,baths,price,neighbourhood,city
72.0,3,False,45bcc478-7d65-4896-a6cd-66885c0078ae,1,Estrato 3,Apartamento,2,285000000.0,Rodeo Alto,Medellín
135.0,3,False,60311440-7ef3-4907-9f12-c3b35b48f202,1,Estrato 5,Apartamento,2,600000000.0,Laureles,Medellín
177.0,3,False,ed6a96d9-37f4-4b0d-9f27-e17cd134916e,4,Estrato 6,Apartamento,4,1380000000.0,San Lucas,Medellín
185.0,4,False,fe8c1269-d81a-4395-be89-e5de9ebd811c,1,Estrato 4,Apartamento,4,400000000.0,Centro administrativo,Medellín
137.0,3,False,231904d6-bd80-4347-84f9-a8b0afcb626c,1,Estrato 5,Apartamento,3,560000000.0,Laureles,Medellín
88.0,3,False,7e5e06ac-d1e5-4b99-a370-c1f15822af52,1,Estrato 5,Apartamento,2,410000000.0,Belen La Palma,Medellín
75.0,3,False,c1fe24a7-9e13-4b82-b966-ba71323da365,Sin especificar,Estrato 4,Apartamento,2,280000000.0,La América,Medellín
280.0,4,False,54efc67d-c942-4cee-a360-be610e0c4102,3,Estrato 5,Apartamento,3,1780000000.0,El Poblado,Medellín
195.0,5,False,6016713e-3d42-46e4-93ab-78455e041958,Sin especificar,Estrato 4,Apartamento,3,350000000.0,La América,Medellín
72.0,4,False,7465c231-7c61-46b3-85ea-eb0ecc0f8342,Sin especificar,Estrato 2,Apartamento,2,200000000.0,Robledo,Medellín
131.0,4,False,0783f270-bb9f-406b-94e0-e7eeb57cf65f,1,Estrato 5,Apartamento,3,500000000.0,El Poblado,Medellín
63.0,3,False,13d0a1f1-6d7d-475f-8912-958c1b7a4fc9,1,Estrato 4,Apartamento,2,354000000.0,Robledo,Medellín
88.0,3,False,cee326a9-83e3-4d3a-907d-ca713f50122e,1,Estrato 3,Apartamento,2,420000000.0,San Antonio de Prado,Medellín
102.0,3,False,f0ae650e-ab9b-4b2a-8983-998ae3c4839d,1,Estrato 5,Apartamento,2,370000000.0,Calasanz,Medellín
50.0,2,False,328587f5-bf08-444d-9203-76f0dec7087b,1,Estrato 3,Apartamento,2,205000000.0,Centro administrativo,Medellín
106.0,3,False,4474d79f-101a-40ba-8ee5-efc310c47dac,2,Estrato 5,Apartamento,4,720000000.0,Laureles,Medellín
260.0,5,False,e4a54e96-e541-4784-b9d5-6b9832adbee7,2,Estrato 6,Apartamento,5,950000000.0,El Poblado,Medellín
85.0,3,False,2ade28b8-72f9-4970-9cfc-a241266e8f73,Sin especificar,Estrato 5,Apartamento,3,350000000.0,La Castellana,Medellín
39.0,2,False,1b962107-9419-432b-964c-38779a81023a,Sin especificar,Estrato 3,Apartamento,1,135000000.0,Centro,Medellín
196.0,3,False,ec2690da-6786-4446-88f8-b856cfe49ed4,1,Estrato 5,Apartamento,4,1000000000.0,El Poblado,Medellín
155.0,3,False,e605f688-4a3b-45c1-aab4-6d89c2d1a5b3,1,Estrato 4,Apartamento,4,530000000.0,Los Colores,Medellín
142.0,4,False,ad7566ea-aba5-4bfb-9ebe-60a39c9f85df,2,Estrato 5,Apartamento,4,465000000.0,Laureles,Medellín
